iter	Logloss
0	0.6879005315
1	0.6824510522
2	0.6771737432
3	0.6718511536
4	0.6674240564
5	0.6641624982
6	0.6599775105
7	0.6556672295
8	0.6505859905
9	0.645889033
10	0.6415328781
11	0.6383967928
12	0.6337806409
13	0.6294636752
14	0.6258430069
15	0.6232674884
16	0.6192318639
17	0.6148390312
18	0.6123029541
19	0.6088040754
20	0.6050953567
21	0.6013710665
22	0.5976539503
23	0.5941458416
24	0.5908789775
25	0.5875312476
26	0.5841931193
27	0.5812657256
28	0.5782543943
29	0.5751448408
30	0.5724232022
31	0.5692853343
32	0.5662025896
33	0.5632509366
34	0.5595784159
35	0.5571338414
36	0.5544206211
37	0.5515095055
38	0.5490783475
39	0.5469296542
40	0.5444670423
41	0.5421109157
42	0.5397627569
43	0.5378227621
44	0.5356987806
45	0.5334262276
46	0.5314993046
47	0.5289400976
48	0.5277884874
49	0.5263909404
50	0.5241507055
51	0.5218327819
52	0.5201296104
53	0.51775306
54	0.5159161333
55	0.5135954235
56	0.5113534504
57	0.5099877567
58	0.5086374374
59	0.5069614243
60	0.5056387156
61	0.5037329426
62	0.5020968429
63	0.5008677795
64	0.4996737079
65	0.4979978435
66	0.4964001742
67	0.4949211579
68	0.4933326171
69	0.4912789331
70	0.4902523277
71	0.4883427577
72	0.486776256
73	0.485691216
74	0.4844388649
75	0.4834769963
76	0.4823477972
77	0.4805536574
78	0.479998307
79	0.4785931564
80	0.4780628366
81	0.4770986502
82	0.4758734612
83	0.4750038025
84	0.4738968342
85	0.4727003728
86	0.4722399011
87	0.4713076722
88	0.4701422441
89	0.4690035023
90	0.467903988
91	0.4666133543
92	0.4656035277
93	0.46475313
94	0.4643705472
95	0.463630709
96	0.4624434113
97	0.4611519589
98	0.4602189472
99	0.4592826687
100	0.4586418772
101	0.4574816287
102	0.4567857459
103	0.456047114
104	0.4556763381
105	0.454857813
106	0.4541027915
107	0.4532248481
108	0.4522550484
109	0.4515657882
110	0.4508983539
111	0.4501241226
112	0.4493702405
113	0.4485238633
114	0.4474779225
115	0.446843871
116	0.4459916362
117	0.4455694479
118	0.4454154331
119	0.4445245938
120	0.4436182878
121	0.4434425514
122	0.4425877918
123	0.4418120222
124	0.4411150584
125	0.4406231692
126	0.4402032321
127	0.4394060617
128	0.4391352865
129	0.4384602279
130	0.4377360029
131	0.4369837043
132	0.4362686536
133	0.4356669148
134	0.4350598042
135	0.4344875575
136	0.4336634171
137	0.4332457236
138	0.4326010329
139	0.4320389698
140	0.4314260045
141	0.4309836828
142	0.4303955471
143	0.4294472605
144	0.4287918764
145	0.4277874382
146	0.4269544991
147	0.4262427269
148	0.4256111367
149	0.4251342871
150	0.4244429313
151	0.4241653355
152	0.4234131025
153	0.4229279367
154	0.4221965266
155	0.4220094546
156	0.4216497105
157	0.4215348249
158	0.4209870031
159	0.4204103125
160	0.4197731463
161	0.419130925
162	0.4188506618
163	0.4184896231
164	0.4179183594
165	0.4172824382
166	0.4164536519
167	0.4160928767
168	0.4159765214
