iter	MultiClass
221	0.687379694
222	0.6872785955
223	0.6872003633
224	0.687095266
225	0.6869346801
226	0.6868444874
227	0.6867441288
228	0.68670012
229	0.6865176774
230	0.6862984256
231	0.6861047652
232	0.6859909556
233	0.6859294242
234	0.6856191643
235	0.685480844
236	0.6854308031
237	0.6853738514
238	0.6852744945
239	0.6851791597
240	0.6850966212
241	0.6848657651
242	0.6845859324
243	0.684416496
244	0.6843453307
245	0.684214081
246	0.6839761631
247	0.6835728282
248	0.6833269911
249	0.683113358
250	0.6827776745
251	0.6825508961
252	0.6824214712
253	0.6823642476
254	0.6822104552
255	0.6820861407
256	0.6819687077
257	0.6817635268
258	0.6815648686
259	0.6813819965
260	0.6810942922
261	0.6809176277
262	0.680714948
263	0.6806516599
264	0.6806296935
265	0.6804227918
266	0.6801550135
267	0.6799697156
268	0.679867792
269	0.6797333807
270	0.6796720932
271	0.6793639303
272	0.6792791418
273	0.6791638399
274	0.6790585551
275	0.6787608127
276	0.6784911608
277	0.6783635077
278	0.6781958875
279	0.677948747
280	0.6778257745
281	0.6777502642
282	0.6773885887
283	0.6771471194
284	0.677018023
285	0.6768152428
286	0.6767127004
287	0.676600373
288	0.6764218412
289	0.6763692776
290	0.6761623501
291	0.6760337711
292	0.6758649677
293	0.675695375
294	0.6755653918
295	0.6754179604
296	0.6753130011
297	0.675134817
298	0.6746793409
299	0.6746387151
300	0.6742935386
301	0.6742577194
302	0.6741265411
303	0.6739610908
304	0.6738767977
305	0.6737788698
306	0.6737325915
307	0.6735695656
308	0.6734498491
309	0.6733227321
310	0.6731086419
311	0.6730159319
312	0.6728973383
313	0.6726139098
314	0.6724958122
315	0.6724456783
316	0.6722367537
317	0.6721178173
318	0.6717746349
319	0.6715213549
320	0.6712723019
321	0.6711581669
322	0.6710105709
323	0.6708349496
324	0.6707471469
325	0.6705226082
326	0.6703187856
327	0.6702133352
328	0.6701201481
329	0.6699933927
330	0.6698484569
331	0.6696820088
332	0.6695131626
333	0.6693377795
334	0.6692165115
335	0.6690011079
336	0.6687831732
337	0.6685347616
338	0.6683608464
339	0.668142285
340	0.6678752681
341	0.6677675983
342	0.6675328899
343	0.6674843662
344	0.6673177502
345	0.6672144336
346	0.6670815236
347	0.6668784674
348	0.6667058905
349	0.6666347277
350	0.6663202932
351	0.6662188039
352	0.6660409267
353	0.6658707256
354	0.6656686384
355	0.6654534253
356	0.6652585896
357	0.665177067
358	0.6650428006
359	0.6647530523
360	0.6646842962
361	0.6645407711
362	0.6643997188
363	0.6642323392
364	0.6639624377
365	0.6638015016
